latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
46.51823,-84.39746,312.82,0.53,0.42,2018-10-24,0714,N20,VIIRS,n,2,272.85,1.55,N,2
46.51993,-84.37608,307.87,0.52,0.42,2018-10-24,0714,N20,VIIRS,n,2,274.87,2.56,N,3
42.29609,-83.17258,308.47,0.43,0.38,2018-10-24,0715,N20,VIIRS,n,2,280.79,3.61,N,2
42.29474,-83.16216,295.04,0.43,0.38,2018-10-24,0715,N20,VIIRS,n,2,275.11,1.53,N,2
43.72655,-90.74593,347.37,0.32,0.55,2018-10-24,0715,N20,VIIRS,n,2,273.14,4.27,N,0
42.29128,-83.16298,326,0.43,0.38,2018-10-24,0715,N20,VIIRS,n,2,277.16,1.53,N,2
42.28458,-83.11109,315.16,0.43,0.38,2018-10-24,0715,N20,VIIRS,n,2,277.26,2.06,N,2
42.29956,-83.17177,306.58,0.43,0.38,2018-10-24,0715,N20,VIIRS,n,2,275.97,1.76,N,2
42.27966,-83.12827,306.12,0.43,0.38,2018-10-24,0715,N20,VIIRS,n,2,276.72,1.28,N,2
42.25885,-83.13313,329.17,0.43,0.38,2018-10-24,0715,N20,VIIRS,n,2,275.47,3.07,N,2
42.25818,-83.12794,318.3,0.43,0.38,2018-10-24,0715,N20,VIIRS,n,2,276.77,1.8,N,2
42.30797,-83.15373,298.02,0.43,0.38,2018-10-24,0715,N20,VIIRS,n,2,273.42,1.16,N,2
42.24497,-83.13638,314.36,0.43,0.38,2018-10-24,0715,N20,VIIRS,n,2,278.07,1.8,N,3
42.26867,-83.43832,311.2,0.44,0.38,2018-10-24,0715,N20,VIIRS,n,2,272.89,1.14,N,2
40.63774,-74.22426,300.14,0.56,0.43,2018-10-24,0715,N20,VIIRS,n,2,281.59,1.13,N,2
40.63638,-74.21785,298.98,0.56,0.43,2018-10-24,0715,N20,VIIRS,n,2,280.72,1.13,N,2
40.80852,-75.58656,296.77,0.49,0.4,2018-10-24,0715,N20,VIIRS,n,2,277.51,0.86,N,2
41.7504,-81.28469,306.59,0.39,0.36,2018-10-24,0715,N20,VIIRS,n,2,279.69,1.48,N,2
40.48195,-74.32408,305.76,0.56,0.43,2018-10-24,0715,N20,VIIRS,n,2,277.7,1.76,N,2
40.4819,-74.32311,310.65,0.56,0.43,2018-10-24,0715,N20,VIIRS,n,2,278.53,1.86,N,2
42.30102,-83.15536,318.42,0.43,0.38,2018-10-24,0715,N20,VIIRS,n,2,276.95,3.22,N,2
41.6415,-87.14127,303.16,0.41,0.45,2018-10-24,0716,N20,VIIRS,n,2,276.47,1.56,N,3
41.64103,-87.13634,307.93,0.41,0.45,2018-10-24,0716,N20,VIIRS,n,2,278.45,1.56,N,3
41.64057,-87.13142,317.17,0.41,0.45,2018-10-24,0716,N20,VIIRS,n,2,276.58,2.31,N,2
41.63739,-87.14194,320.44,0.41,0.45,2018-10-24,0716,N20,VIIRS,n,2,279.74,1.56,N,2
41.63281,-87.1377,336.83,0.41,0.45,2018-10-24,0716,N20,VIIRS,n,2,279.91,4.55,N,2
41.62507,-87.14405,297.1,0.41,0.45,2018-10-24,0716,N20,VIIRS,n,2,276.29,0.45,N,2
41.62567,-87.33042,300.25,0.42,0.45,2018-10-24,0716,N20,VIIRS,n,2,278.8,2.1,N,3
41.62152,-87.33107,334.09,0.42,0.45,2018-10-24,0716,N20,VIIRS,n,2,281.55,2.1,N,3
41.61737,-87.33176,328.9,0.42,0.45,2018-10-24,0716,N20,VIIRS,n,2,278.61,4.51,N,3
