latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.6862,-111.5934,343.4,1,1,2018-10-24,0519,Terra,MODIS,100,6.03,276.9,57.2,N,2
38.6954,-90.1315,311.6,1.1,1,2018-10-24,0752,Aqua,MODIS,83,6.03,277.8,17.7,N,2
42.6847,-111.5878,303.7,1,1,2018-10-24,0930,Aqua,MODIS,56,6.03,274.5,10.7,N,2
36.6681,-121.37,302,2.3,1.5,2018-10-24,0932,Aqua,MODIS,46,6.03,283.5,25,N,0
36.8498,-78.4113,319.3,1.9,1.4,2018-10-24,1540,Terra,MODIS,79,6.03,287.3,48.2,D,0
33.5856,-80.9403,304,2.6,1.5,2018-10-24,1541,Terra,MODIS,58,6.03,290.8,22,D,0
33.7724,-82.8088,314.9,3.4,1.7,2018-10-24,1541,Terra,MODIS,75,6.03,290.9,77.2,D,0
33.7645,-82.8528,319.3,3.4,1.7,2018-10-24,1541,Terra,MODIS,79,6.03,290.8,104,D,0
34.552,-84.1161,304.4,4.3,1.9,2018-10-24,1541,Terra,MODIS,59,6.03,289.1,54.8,D,0
33.3043,-82.4831,302.9,3.2,1.7,2018-10-24,1541,Terra,MODIS,54,6.03,291.8,25,D,0
32.8931,-82.9891,302.5,3.4,1.7,2018-10-24,1541,Terra,MODIS,33,6.03,290.8,25.6,D,0
32.903,-82.9824,310.2,3.4,1.7,2018-10-24,1541,Terra,MODIS,70,6.03,291.3,59.3,D,0
33.1029,-80.974,301.7,2.5,1.5,2018-10-24,1541,Terra,MODIS,48,6.03,291.5,14.2,D,0
34.8862,-80.0907,303.2,2.3,1.5,2018-10-24,1541,Terra,MODIS,55,6.03,290.2,19.5,D,0
33.3078,-82.4901,307.7,3.2,1.7,2018-10-24,1541,Terra,MODIS,66,6.03,291.8,41.6,D,0
34.9655,-78.1721,301.4,1.8,1.3,2018-10-24,1541,Terra,MODIS,47,6.03,290.6,8.5,D,0
33.7746,-82.846,320.6,3.4,1.7,2018-10-24,1541,Terra,MODIS,80,6.03,290.9,108.9,D,0
33.7621,-82.8157,325,3.4,1.7,2018-10-24,1541,Terra,MODIS,83,6.03,291.5,137.8,D,0
33.4036,-83.3318,305.8,3.7,1.8,2018-10-24,1541,Terra,MODIS,59,6.03,291.3,45,D,0
33.4116,-83.3257,303.8,3.7,1.8,2018-10-24,1541,Terra,MODIS,40,6.03,291.2,34.1,D,0
30.7257,-83.3166,300.4,3.4,1.7,2018-10-24,1542,Terra,MODIS,28,6.03,276.6,22.3,D,0
31.7125,-81.9585,311.3,2.9,1.6,2018-10-24,1542,Terra,MODIS,71,6.03,295,38.2,D,0
