latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.29889,-83.15868,322.05,0.57,0.69,2018-10-24,0626,N,VIIRS,n,2,277.01,5.63,N,2
42.24662,-83.13925,295.24,0.57,0.69,2018-10-24,0626,N,VIIRS,n,2,273.92,1.07,N,2
42.25371,-83.12908,309.29,0.57,0.69,2018-10-24,0626,N,VIIRS,n,2,274.63,1.96,N,2
42.24088,-83.13687,298.19,0.57,0.69,2018-10-24,0626,N,VIIRS,n,2,276.47,1.54,N,3
42.29912,-83.17313,297.47,0.57,0.69,2018-10-24,0626,N,VIIRS,n,2,274.67,1.25,N,2
41.39472,-75.73405,298.31,0.47,0.48,2018-10-24,0626,N,VIIRS,n,2,272.13,0.81,N,2
41.46898,-83.36797,323.13,0.58,0.7,2018-10-24,0626,N,VIIRS,n,2,276.89,3.71,N,2
41.22699,-83.2096,300.71,0.57,0.69,2018-10-24,0626,N,VIIRS,n,2,274.31,0.99,N,2
40.80721,-75.58865,295.83,0.45,0.47,2018-10-24,0626,N,VIIRS,n,2,277.57,0.7,N,2
42.29251,-83.16618,322.27,0.57,0.69,2018-10-24,0626,N,VIIRS,n,2,275.89,1.9,N,2
40.63577,-74.2225,305.37,0.39,0.44,2018-10-24,0626,N,VIIRS,n,2,283.57,0.97,N,2
40.63531,-74.2179,298.86,0.39,0.44,2018-10-24,0626,N,VIIRS,n,2,280.45,0.97,N,2
42.2859,-83.15926,299.3,0.57,0.69,2018-10-24,0626,N,VIIRS,n,2,273.48,1.9,N,0
40.89336,-77.70772,300.8,0.58,0.52,2018-10-24,0626,N,VIIRS,n,2,275.14,2.09,N,2
40.48122,-74.32299,334.84,0.39,0.44,2018-10-24,0626,N,VIIRS,n,2,278.89,3.15,N,2
42.29878,-83.15155,304.27,0.57,0.69,2018-10-24,0626,N,VIIRS,n,2,274.35,2.71,N,2
40.48191,-74.32442,336.47,0.39,0.44,2018-10-24,0626,N,VIIRS,n,2,277.71,2.81,N,2
40.78283,-81.39949,299.31,0.45,0.63,2018-10-24,0626,N,VIIRS,n,2,275.43,1.07,N,2
42.28513,-83.10901,304.71,0.57,0.69,2018-10-24,0626,N,VIIRS,n,2,275.38,2.6,N,2
40.2303,-76.83826,300.62,0.52,0.5,2018-10-24,0626,N,VIIRS,n,2,278.31,1.47,N,2
39.96276,-76.59935,296.01,0.5,0.49,2018-10-24,0626,N,VIIRS,n,2,276.04,0.79,N,2
39.93859,-76.81626,307.67,0.51,0.5,2018-10-24,0626,N,VIIRS,n,2,277.04,1.82,N,2
39.58959,-75.63632,298.22,0.44,0.46,2018-10-24,0626,N,VIIRS,n,2,282.83,0.79,N,2
39.58529,-75.63699,298.29,0.44,0.46,2018-10-24,0626,N,VIIRS,n,2,281.91,0.79,N,2
42.28524,-83.11616,298.5,0.57,0.69,2018-10-24,0626,N,VIIRS,n,2,272.84,1.11,N,0
42.2595,-83.13153,297.75,0.57,0.69,2018-10-24,0626,N,VIIRS,n,2,273.26,0.54,N,2
42.25301,-83.13175,306.99,0.57,0.69,2018-10-24,0626,N,VIIRS,n,2,273.06,1.07,N,2
36.94919,-78.69967,295.24,0.6,0.53,2018-10-24,0627,N,VIIRS,n,2,276.92,1.05,N,0
39.48315,-84.38309,299.37,0.64,0.72,2018-10-24,0627,N,VIIRS,n,2,276.93,2.09,N,2
39.48157,-84.38142,307.52,0.64,0.72,2018-10-24,0627,N,VIIRS,n,2,276.37,2.32,N,2
39.46812,-84.38963,296.23,0.64,0.72,2018-10-24,0627,N,VIIRS,n,2,275.26,1.65,N,2
39.08006,-79.69266,295.52,0.36,0.57,2018-10-24,0627,N,VIIRS,n,2,273.3,0.63,N,2
38.83507,-84.24387,303.22,0.63,0.72,2018-10-24,0627,N,VIIRS,n,2,277.52,2.67,N,2
38.83249,-84.23883,301.49,0.62,0.72,2018-10-24,0627,N,VIIRS,n,2,278.7,1.47,N,2
38.23572,-75.76099,296.03,0.43,0.46,2018-10-24,0627,N,VIIRS,n,2,278.64,0.61,N,0
38.59723,-82.83422,295.15,0.52,0.67,2018-10-24,0627,N,VIIRS,n,2,278.91,0.96,N,2
38.59705,-82.82797,297.89,0.52,0.67,2018-10-24,0627,N,VIIRS,n,2,278.54,0.96,N,2
38.59975,-82.82765,297.48,0.52,0.67,2018-10-24,0627,N,VIIRS,n,2,278.29,1.17,N,2
38.12374,-77.3278,303.96,0.52,0.5,2018-10-24,0627,N,VIIRS,n,2,280.14,1.2,N,0
38.01828,-77.16318,305.38,0.51,0.49,2018-10-24,0627,N,VIIRS,n,2,276.11,1.75,N,0
37.5528,-77.265,296.27,0.51,0.49,2018-10-24,0627,N,VIIRS,n,2,277.3,0.37,N,0
37.38036,-80.66472,307.74,0.39,0.59,2018-10-24,0627,N,VIIRS,n,2,278.86,1.79,N,2
37.38154,-80.66299,320.67,0.39,0.59,2018-10-24,0627,N,VIIRS,n,2,280.75,2.27,N,2
37.23581,-82.03677,298.2,0.46,0.64,2018-10-24,0627,N,VIIRS,n,2,277.76,0.84,N,2
37.23376,-82.04185,297.62,0.46,0.64,2018-10-24,0627,N,VIIRS,n,2,277.3,0.9,N,2
37.23348,-82.03613,303.86,0.46,0.64,2018-10-24,0627,N,VIIRS,n,2,278.03,0.9,N,2
36.35616,-76.80508,305.72,0.47,0.48,2018-10-24,0627,N,VIIRS,n,2,283.12,0.78,N,2
36.35689,-76.80633,301.33,0.47,0.48,2018-10-24,0627,N,VIIRS,n,2,282.55,1.79,N,2
35.50547,-80.33116,313.65,0.36,0.57,2018-10-24,0628,N,VIIRS,n,2,282.79,1.44,N,2
35.34301,-80.82861,296.22,0.38,0.59,2018-10-24,0628,N,VIIRS,n,2,282.01,0.43,N,2
35.07878,-81.57742,300.41,0.42,0.61,2018-10-24,0628,N,VIIRS,n,2,278.7,0.73,N,0
34.99376,-80.29327,302.44,0.35,0.57,2018-10-24,0628,N,VIIRS,n,2,280.08,0.39,N,0
34.83963,-79.74429,296.42,0.33,0.55,2018-10-24,0628,N,VIIRS,n,2,279.55,1.06,N,2
34.83937,-79.7406,311.72,0.33,0.55,2018-10-24,0628,N,VIIRS,n,2,281.76,1.23,N,2
34.37647,-79.88966,308.48,0.33,0.55,2018-10-24,0628,N,VIIRS,n,2,282.1,0.86,N,2
34.37518,-79.88796,301.12,0.33,0.55,2018-10-24,0628,N,VIIRS,n,2,281.95,0.9,N,2
34.15266,-79.56006,298.65,0.63,0.54,2018-10-24,0628,N,VIIRS,n,2,285.24,0.86,N,2
34.14912,-79.55912,296.36,0.63,0.54,2018-10-24,0628,N,VIIRS,n,2,284.75,1.05,N,2
33.95004,-78.34538,303.63,0.54,0.5,2018-10-24,0628,N,VIIRS,n,2,283.84,0.65,N,0
33.96511,-81.04967,303.9,0.38,0.59,2018-10-24,0628,N,VIIRS,n,2,284.52,0.7,N,2
33.88713,-80.64026,298.57,0.36,0.58,2018-10-24,0628,N,VIIRS,n,2,287.02,0.49,N,0
33.01645,-79.88393,322.29,0.32,0.55,2018-10-24,0628,N,VIIRS,n,2,286.9,1.21,N,2
33.01671,-79.88744,300.14,0.32,0.55,2018-10-24,0628,N,VIIRS,n,2,285.75,2.45,N,2
33.01137,-79.88454,313.54,0.32,0.55,2018-10-24,0628,N,VIIRS,n,2,285.99,1.21,N,2
33.00576,-79.87811,298.99,0.32,0.55,2018-10-24,0628,N,VIIRS,n,2,287.24,0.55,N,2
33.01317,-79.88387,330.62,0.32,0.55,2018-10-24,0628,N,VIIRS,n,2,287.09,2.42,N,2
33.01345,-79.88738,306.01,0.32,0.55,2018-10-24,0628,N,VIIRS,n,2,286.33,2.19,N,2
32.53419,-82.51112,298.68,0.45,0.63,2018-10-24,0628,N,VIIRS,n,2,265.83,1.09,N,0
32.48113,-85.19597,297.26,0.65,0.73,2018-10-24,0629,N,VIIRS,n,2,281.63,0.88,N,0
32.47975,-85.19855,296.94,0.65,0.73,2018-10-24,0629,N,VIIRS,n,2,280.11,0.86,N,0
32.4302,-84.97765,295.73,0.63,0.72,2018-10-24,0629,N,VIIRS,n,2,283.46,0.85,N,2
32.18495,-84.1176,297.58,0.56,0.69,2018-10-24,0629,N,VIIRS,n,2,283.48,0.7,N,2
46.51897,-84.37788,332.38,0.54,0.42,2018-10-24,0805,N,VIIRS,n,2,273.1,4.58,N,3
46.52124,-84.36936,296.74,0.54,0.42,2018-10-24,0805,N,VIIRS,n,2,272.2,4.58,N,3
46.51444,-84.395,329.88,0.54,0.42,2018-10-24,0805,N,VIIRS,n,2,272.94,4.64,N,2
46.51069,-84.39671,297.11,0.54,0.42,2018-10-24,0805,N,VIIRS,n,2,271.19,1.61,N,3
48.54395,-103.49442,302.25,0.35,0.57,2018-10-24,0805,N,VIIRS,n,2,274.84,0.69,N,0
48.491,-103.59004,300.14,0.36,0.57,2018-10-24,0805,N,VIIRS,n,2,275.02,0.83,N,0
48.458,-103.56786,313.95,0.36,0.57,2018-10-24,0805,N,VIIRS,n,2,276.25,1.01,N,0
48.4567,-103.53347,296.62,0.36,0.57,2018-10-24,0805,N,VIIRS,n,2,275.67,0.6,N,0
48.40086,-103.41124,310.61,0.35,0.57,2018-10-24,0805,N,VIIRS,n,2,276.63,1.15,N,0
48.39734,-103.32758,306.66,0.35,0.57,2018-10-24,0805,N,VIIRS,n,2,274.88,0.89,N,0
48.28799,-102.50352,333.91,0.32,0.54,2018-10-24,0805,N,VIIRS,n,2,276.46,2.6,N,2
48.28292,-102.50404,298.6,0.32,0.54,2018-10-24,0805,N,VIIRS,n,2,274.04,0.6,N,2
48.28483,-102.50361,325.26,0.64,0.54,2018-10-24,0805,N,VIIRS,n,2,275.26,3.84,N,2
48.22461,-103.35116,307.91,0.35,0.57,2018-10-24,0805,N,VIIRS,n,2,276.47,0.75,N,0
48.20042,-103.41163,323.71,0.35,0.57,2018-10-24,0805,N,VIIRS,n,2,274.74,1.33,N,0
48.19941,-103.46861,304.15,0.35,0.57,2018-10-24,0806,N,VIIRS,n,2,275.66,0.94,N,0
48.19795,-103.4341,306.84,0.35,0.57,2018-10-24,0806,N,VIIRS,n,2,275.75,1.56,N,0
48.19691,-103.40959,317.28,0.35,0.57,2018-10-24,0806,N,VIIRS,n,2,271.19,1.15,N,0
48.19629,-103.39487,311.24,0.35,0.57,2018-10-24,0806,N,VIIRS,n,2,275.75,1.37,N,0
48.10168,-103.28146,313.2,0.34,0.56,2018-10-24,0806,N,VIIRS,n,2,276.22,1.24,N,0
48.10217,-103.27806,318.38,0.34,0.56,2018-10-24,0806,N,VIIRS,n,2,276.24,1.9,N,0
