latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.77514,-73.43671,298.04,0.4,0.37,2025-01-01,0655,N20,VIIRS,n,2,277.92,0.5,N,2
41.36593,-84.92442,298.86,0.55,0.51,2025-01-01,0656,N20,VIIRS,n,2,263.19,0.89,N,2
37.18134,-77.44506,299.06,0.39,0.36,2025-01-01,0656,N20,VIIRS,n,2,281.43,0.72,N,2
37.18199,-77.44938,306.48,0.39,0.36,2025-01-01,0656,N20,VIIRS,n,2,281.56,1.07,N,2
37.54003,-76.80817,303.97,0.38,0.36,2025-01-01,0656,N20,VIIRS,n,2,283.24,0.66,N,2
37.7671,-76.51521,300.85,0.38,0.36,2025-01-01,0656,N20,VIIRS,n,2,279.02,0.67,N,0
37.67456,-75.83309,295.26,0.39,0.36,2025-01-01,0656,N20,VIIRS,n,2,280.26,0.33,N,3
38.33995,-75.84898,301.26,0.39,0.36,2025-01-01,0656,N20,VIIRS,n,2,277.52,0.5,N,0
38.63476,-75.75024,314.49,0.39,0.36,2025-01-01,0656,N20,VIIRS,n,2,277.04,1.6,N,0
41.48117,-90.83878,307.04,0.56,0.69,2025-01-01,0656,N20,VIIRS,n,2,268.25,1.89,N,0
41.47948,-90.83755,308.51,0.56,0.69,2025-01-01,0656,N20,VIIRS,n,2,268.77,1.26,N,2
35.04354,-90.16786,303.06,0.46,0.64,2025-01-01,0657,N20,VIIRS,n,2,273.48,2.23,N,2
33.98647,-78.75092,296.22,0.39,0.36,2025-01-01,0657,N20,VIIRS,n,2,281.28,0.18,N,0
33.78803,-79.18433,296.15,0.39,0.37,2025-01-01,0657,N20,VIIRS,n,2,282.01,0.36,N,0
35.04944,-90.16737,332.57,0.46,0.64,2025-01-01,0657,N20,VIIRS,n,2,277.08,2.23,N,2
33.96199,-81.05077,295.09,0.44,0.39,2025-01-01,0657,N20,VIIRS,n,2,281.25,0.82,N,2
34.00059,-78.30237,302.68,0.39,0.36,2025-01-01,0657,N20,VIIRS,n,2,283.76,0.74,N,0
35.57164,-92.30786,295.81,0.62,0.71,2025-01-01,0657,N20,VIIRS,n,2,273.63,0.83,N,0
34.60251,-80.49268,309.88,0.43,0.38,2025-01-01,0657,N20,VIIRS,n,2,280.4,0.82,N,0
34.73146,-82.5372,318.13,0.52,0.42,2025-01-01,0657,N20,VIIRS,n,2,276.75,2.19,N,0
34.86677,-82.05161,311.95,0.5,0.41,2025-01-01,0657,N20,VIIRS,n,2,275.44,1.67,N,0
34.40295,-81.03392,311.58,0.45,0.39,2025-01-01,0657,N20,VIIRS,n,2,278.87,1.16,N,0
34.34273,-77.89262,299.96,0.38,0.36,2025-01-01,0657,N20,VIIRS,n,2,284.38,0.31,N,0
34.44984,-77.9473,327.06,0.38,0.36,2025-01-01,0657,N20,VIIRS,n,2,283.84,2.22,N,0
35.13713,-82.09582,299.06,0.5,0.41,2025-01-01,0657,N20,VIIRS,n,2,277.53,0.89,N,0
35.14088,-82.09516,296.55,0.5,0.41,2025-01-01,0657,N20,VIIRS,n,2,277.14,0.83,N,0
35.13798,-82.10019,300.09,0.5,0.41,2025-01-01,0657,N20,VIIRS,n,2,276.66,0.94,N,0
