latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
19.3968,-155.2758,375.3,1,1,2025-01-01,0033,Aqua,MODIS,100,61.03,306,126.8,D,1
19.4116,-155.2973,330.6,1,1,2025-01-01,0033,Aqua,MODIS,81,61.03,301.4,20.3,D,1
19.413,-155.2881,374,1,1,2025-01-01,0033,Aqua,MODIS,100,61.03,308.7,121.6,D,1
19.4028,-155.2959,496.7,1,1,2025-01-01,0033,Aqua,MODIS,100,61.03,400.1,1535.9,D,1
19.4042,-155.2866,505,1,1,2025-01-01,0033,Aqua,MODIS,100,61.03,400.1,1732,D,1
19.4056,-155.2773,424.8,1,1,2025-01-01,0033,Aqua,MODIS,100,61.03,331.2,432.5,D,1
19.394,-155.2944,374.2,1,1,2025-01-01,0033,Aqua,MODIS,100,61.03,312.4,120.1,D,1
19.3954,-155.2851,440,1,1,2025-01-01,0033,Aqua,MODIS,100,61.03,333.1,584.2,D,1
29.7495,-90.416,302.9,1,1,2025-01-01,0317,Terra,MODIS,52,61.03,284,7.5,N,0
33.3089,-89.3434,300.9,1.1,1,2025-01-01,0318,Terra,MODIS,35,61.03,275.4,9.3,N,0
35.6518,-89.9365,307.9,1.1,1,2025-01-01,0319,Terra,MODIS,73,61.03,276.4,13.8,N,2
19.4019,-155.292,480.2,2.2,1.4,2025-01-01,0810,Terra,MODIS,100,61.03,327.8,3805.6,N,1
19.3999,-155.3124,315.1,2.2,1.4,2025-01-01,0810,Terra,MODIS,79,61.03,287.9,42.8,N,1
19.4146,-155.294,371,2.2,1.4,2025-01-01,0810,Terra,MODIS,100,61.03,293.4,385.1,N,1
19.4168,-155.2726,328.3,2.2,1.4,2025-01-01,0810,Terra,MODIS,100,61.03,291,88.8,N,1
19.404,-155.2646,322.8,2.2,1.4,2025-01-01,0810,Terra,MODIS,100,61.03,290.9,68.4,N,1
19.4017,-155.2852,486.2,2.2,1.4,2025-01-01,0810,Terra,MODIS,100,61.03,331.5,4180.5,N,1
19.3957,-155.353,306.9,2.2,1.4,2025-01-01,0810,Terra,MODIS,50,61.03,285.9,28.4,N,1
19.3995,-155.3059,385.6,2.2,1.4,2025-01-01,0810,Terra,MODIS,100,61.03,295,564.7,N,1
19.3951,-155.346,310.5,2.2,1.4,2025-01-01,0810,Terra,MODIS,61,61.03,286.5,34.1,N,1
19.4041,-155.2711,412.9,2.2,1.4,2025-01-01,0810,Terra,MODIS,100,61.03,303.7,1095.8,N,1
28.8564,-100.5232,307,1,1,2025-01-01,0923,Aqua,MODIS,70,61.03,276.6,12.8,N,2
19.4192,-155.2931,319.2,1.5,1.2,2025-01-01,1243,Aqua,MODIS,98,61.03,286.4,30.2,N,1
19.395,-155.2696,307,1.5,1.2,2025-01-01,1243,Aqua,MODIS,33,61.03,285.4,12.8,N,1
19.3966,-155.283,348.1,1.5,1.2,2025-01-01,1243,Aqua,MODIS,100,61.03,286.4,101.3,N,1
19.3983,-155.2964,321.8,1.5,1.2,2025-01-01,1243,Aqua,MODIS,100,61.03,285,34.6,N,1
19.4054,-155.2682,419.8,1.5,1.2,2025-01-01,1243,Aqua,MODIS,100,61.03,319.3,681.2,N,1
19.4071,-155.2818,506.1,1.5,1.2,2025-01-01,1243,Aqua,MODIS,100,61.03,400.1,3053.6,N,1
19.4088,-155.2949,433,1.5,1.2,2025-01-01,1243,Aqua,MODIS,100,61.03,299.6,898.7,N,1
19.4159,-155.2669,328.9,1.5,1.2,2025-01-01,1243,Aqua,MODIS,59,61.03,302.2,46.7,N,1
19.4176,-155.2801,381,1.5,1.2,2025-01-01,1243,Aqua,MODIS,100,61.03,308.8,273.4,N,1
35.3684,-79.0287,303.9,1,1,2025-01-01,1519,Terra,MODIS,57,61.03,283,8.7,D,0
34.9169,-80.7061,319.8,1,1,2025-01-01,1519,Terra,MODIS,80,61.03,282.2,20.3,D,0
34.9184,-80.7167,327.2,1,1,2025-01-01,1519,Terra,MODIS,85,61.03,282.7,28.3,D,0
30.6351,-84.4417,314.7,1.1,1.1,2025-01-01,1520,Terra,MODIS,75,61.03,286.1,18.3,D,0
30.6336,-84.4302,300.7,1.1,1.1,2025-01-01,1520,Terra,MODIS,40,61.03,284.9,6.8,D,0
33.0161,-79.8799,302.3,1,1,2025-01-01,1520,Terra,MODIS,52,61.03,284.6,7.3,D,2
32.2097,-81.8703,315.6,1,1,2025-01-01,1520,Terra,MODIS,76,61.03,285.3,16,D,0
26.5925,-80.4739,311.7,1.1,1.1,2025-01-01,1521,Terra,MODIS,70,61.03,291.8,10.6,D,0
26.5943,-80.485,320.9,1.1,1.1,2025-01-01,1521,Terra,MODIS,80,61.03,291,20.5,D,0
29.79,-82.5821,301.6,1,1,2025-01-01,1521,Terra,MODIS,48,61.03,288.6,5.2,D,0
34.4731,-95.6738,304.4,3.1,1.7,2025-01-01,1657,Terra,MODIS,59,61.03,277,50.6,D,0
33.4157,-110.8612,308.9,1.5,1.2,2025-01-01,1658,Terra,MODIS,68,61.03,285.3,18.7,D,2
31.1853,-97.1408,301.5,3,1.6,2025-01-01,1658,Terra,MODIS,47,61.03,284.9,28.2,D,0
27.7512,-98.983,300.3,2.7,1.6,2025-01-01,1659,Terra,MODIS,15,61.03,286.1,11.2,D,0
