latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.63375,-75.75109,305.35,0.54,0.42,2025-01-01,0633,N,VIIRS,n,2,277.13,1.26,N,0
39.42359,-74.54429,299.24,0.49,0.4,2025-01-01,0633,N,VIIRS,n,2,279.14,0.59,N,2
40.02568,-74.25027,297.86,0.48,0.4,2025-01-01,0633,N,VIIRS,n,2,277.77,1.02,N,2
38.33913,-75.84859,301.9,0.54,0.42,2025-01-01,0633,N,VIIRS,n,2,278.31,0.65,N,0
40.17414,-75.89795,304.62,0.57,0.43,2025-01-01,0633,N,VIIRS,n,2,276.35,1.27,N,2
40.17477,-75.89853,298,0.57,0.43,2025-01-01,0633,N,VIIRS,n,2,276.34,1.05,N,2
37.76586,-76.5181,295.04,0.38,0.43,2025-01-01,0633,N,VIIRS,n,2,279.34,0.45,N,0
35.50319,-80.33324,299.25,0.58,0.52,2025-01-01,0634,N,VIIRS,n,2,279.36,1,N,2
34.86712,-82.04826,302.61,0.36,0.57,2025-01-01,0634,N,VIIRS,n,2,275.8,0.75,N,0
34.86362,-82.05098,302.16,0.36,0.57,2025-01-01,0634,N,VIIRS,n,2,276.09,0.57,N,0
36.35543,-76.81316,295.56,0.57,0.43,2025-01-01,0634,N,VIIRS,n,2,283.18,1.77,N,2
34.4493,-77.95004,319.74,0.42,0.45,2025-01-01,0634,N,VIIRS,n,2,283.45,2.58,N,0
34.73182,-82.53951,307.18,0.38,0.59,2025-01-01,0634,N,VIIRS,n,2,276.78,0.8,N,0
34.34097,-77.89012,298.24,0.41,0.45,2025-01-01,0634,N,VIIRS,n,2,284.93,0.23,N,0
34.48626,-81.63371,314.37,0.33,0.56,2025-01-01,0634,N,VIIRS,n,2,279.66,1.15,N,0
35.50546,-81.44821,302.61,0.33,0.56,2025-01-01,0634,N,VIIRS,n,2,276.29,0.44,N,0
37.53729,-76.80843,295.16,0.39,0.44,2025-01-01,0634,N,VIIRS,n,2,280.96,0.67,N,2
35.26627,-78.93149,298.15,0.48,0.48,2025-01-01,0634,N,VIIRS,n,2,280.66,0.57,N,0
35.22111,-80.22131,295.96,0.56,0.52,2025-01-01,0634,N,VIIRS,n,2,278.79,1.12,N,0
35.13957,-82.09725,308.31,0.36,0.57,2025-01-01,0634,N,VIIRS,n,2,275.37,0.97,N,0
36.35475,-76.8067,316.13,0.57,0.43,2025-01-01,0634,N,VIIRS,n,2,282.33,1.77,N,2
33.10106,-86.80308,299.2,0.64,0.72,2025-01-01,0635,N,VIIRS,n,2,278.36,1.91,N,2
32.90112,-82.78453,303.61,0.37,0.58,2025-01-01,0635,N,VIIRS,n,2,280.03,0.73,N,0
32.89184,-82.65465,300.4,0.37,0.58,2025-01-01,0635,N,VIIRS,n,2,279.34,0.43,N,0
33.10678,-86.79989,300.45,0.64,0.72,2025-01-01,0635,N,VIIRS,n,2,278.84,1.7,N,2
33.09346,-86.80786,296.3,0.64,0.72,2025-01-01,0635,N,VIIRS,n,2,277.89,1.85,N,2
32.62351,-81.21075,303.33,0.6,0.53,2025-01-01,0635,N,VIIRS,n,2,283.19,1.24,N,0
32.97016,-87.97712,302.38,0.75,0.77,2025-01-01,0635,N,VIIRS,n,2,274.8,2.62,N,0
32.97567,-87.97704,306.66,0.75,0.77,2025-01-01,0635,N,VIIRS,n,2,276.04,1.51,N,0
32.45647,-81.32435,299.19,0.61,0.53,2025-01-01,0635,N,VIIRS,n,2,282.58,0.86,N,0
32.28648,-82.23817,321.76,0.34,0.56,2025-01-01,0635,N,VIIRS,n,2,282.16,1.32,N,0
32.11779,-81.97336,295.27,0.33,0.55,2025-01-01,0635,N,VIIRS,n,2,281.38,0.24,N,0
32.13348,-82.30275,299.99,0.35,0.56,2025-01-01,0635,N,VIIRS,n,2,281.78,0.5,N,0
31.65877,-81.84041,296.06,0.32,0.55,2025-01-01,0635,N,VIIRS,n,2,285.36,0.47,N,0
