latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,daynight
40.836274,-73.622651,6128,7294,2025-01-01,1539,L9,OLI-2,H,D
40.070476,-74.768916,4184,4877,2025-01-01,1539,L9,OLI-2,H,D
40.070746,-74.768915,4184,4876,2025-01-01,1539,L9,OLI-2,H,D
40.071017,-74.768914,4184,4875,2025-01-01,1539,L9,OLI-2,H,D
40.070747,-74.769267,4183,4876,2025-01-01,1539,L9,OLI-2,H,D
40.071017,-74.769266,4183,4875,2025-01-01,1539,L9,OLI-2,M,D
40.153456,-74.769691,4181,4570,2025-01-01,1539,L9,OLI-2,L,D
40.137846,-74.806017,4078,4628,2025-01-01,1539,L9,OLI-2,H,D
39.857114,-74.883618,3859,5667,2025-01-01,1539,L9,OLI-2,H,D
39.857115,-74.883969,3858,5667,2025-01-01,1539,L9,OLI-2,H,D
40.079039,-76.095739,413,4827,2025-01-01,1539,L9,OLI-2,H,D
40.079035,-76.096091,412,4827,2025-01-01,1539,L9,OLI-2,H,D
40.836274,-73.622651,7398,2014,2025-01-01,1539,L9,OLI-2,H,D
40.64633,-73.648917,7335,2718,2025-01-01,1539,L9,OLI-2,H,D
40.718342,-73.888637,6656,2461,2025-01-01,1539,L9,OLI-2,L,D
40.079306,-76.096095,412,4826,2025-01-01,1539,L9,OLI-2,H,D
39.843752,-74.145165,5965,5705,2025-01-01,1539,L9,OLI-2,H,D
39.840344,-74.197802,5815,5719,2025-01-01,1539,L9,OLI-2,H,D
40.589917,-74.210539,5754,2946,2025-01-01,1539,L9,OLI-2,H,D
40.590187,-74.210536,5754,2945,2025-01-01,1539,L9,OLI-2,H,D
40.589919,-74.210894,5753,2946,2025-01-01,1539,L9,OLI-2,H,D
40.024493,-74.250143,5660,5039,2025-01-01,1539,L9,OLI-2,H,D
40.024763,-74.25014,5660,5038,2025-01-01,1539,L9,OLI-2,H,D
36.970138,-76.4149,1919,5764,2025-01-01,1540,L9,OLI-2,H,D
37.467556,-76.402173,1984,3925,2025-01-01,1540,L9,OLI-2,M,D
37.46756,-76.401834,1985,3925,2025-01-01,1540,L9,OLI-2,H,D
38.102573,-75.768915,3870,1598,2025-01-01,1540,L9,OLI-2,H,D
38.102303,-75.768912,3870,1599,2025-01-01,1540,L9,OLI-2,H,D
38.056671,-75.508891,4629,1773,2025-01-01,1540,L9,OLI-2,M,D
36.985782,-76.418223,1910,5706,2025-01-01,1540,L9,OLI-2,H,D
39.58205,-75.861508,2351,1403,2025-01-01,1540,L9,OLI-2,H,D
39.582053,-75.861159,2352,1403,2025-01-01,1540,L9,OLI-2,H,D
38.102573,-75.768915,2570,6878,2025-01-01,1540,L9,OLI-2,H,D
38.102303,-75.768912,2570,6879,2025-01-01,1540,L9,OLI-2,H,D
38.633962,-75.750086,2641,4913,2025-01-01,1540,L9,OLI-2,H,D
38.633964,-75.749741,2642,4913,2025-01-01,1540,L9,OLI-2,H,D
38.056671,-75.508891,3329,7053,2025-01-01,1540,L9,OLI-2,L,D
39.808834,-75.421683,3614,573,2025-01-01,1540,L9,OLI-2,H,D
39.236069,-74.789753,5422,2694,2025-01-01,1540,L9,OLI-2,H,D
37.330947,-76.787674,838,4411,2025-01-01,1540,L9,OLI-2,H,D
37.519601,-76.624136,1333,3722,2025-01-01,1540,L9,OLI-2,H,D
37.858338,-76.627109,1346,2469,2025-01-01,1540,L9,OLI-2,M,D
36.768462,-76.520088,1595,6505,2025-01-01,1540,L9,OLI-2,M,D
36.801629,-76.506284,1638,6383,2025-01-01,1540,L9,OLI-2,H,D
36.801358,-76.506279,1638,6384,2025-01-01,1540,L9,OLI-2,H,D
37.082622,-76.481789,1727,5345,2025-01-01,1540,L9,OLI-2,H,D
36.836705,-76.469293,1750,6255,2025-01-01,1540,L9,OLI-2,H,D
37.067625,-76.448091,1826,5402,2025-01-01,1540,L9,OLI-2,H,D
36.970408,-76.414905,1919,5763,2025-01-01,1540,L9,OLI-2,H,D
36.79497,-76.290624,2279,6417,2025-01-01,1540,L9,OLI-2,M,D
36.794974,-76.290288,2280,6417,2025-01-01,1540,L9,OLI-2,M,D
37.497402,-76.298545,2291,3819,2025-01-01,1540,L9,OLI-2,M,D
37.718874,-75.77242,3848,3017,2025-01-01,1540,L9,OLI-2,H,D
37.718876,-75.77208,3849,3017,2025-01-01,1540,L9,OLI-2,H,D
37.718606,-75.772077,3849,3018,2025-01-01,1540,L9,OLI-2,H,D
37.718879,-75.771739,3850,3017,2025-01-01,1540,L9,OLI-2,H,D
34.844456,-77.487093,1167,3010,2025-01-01,1541,L9,OLI-2,H,D
36.836705,-76.469293,3060,975,2025-01-01,1541,L9,OLI-2,H,D
36.985782,-76.418223,3220,426,2025-01-01,1541,L9,OLI-2,H,D
36.970408,-76.414905,3229,483,2025-01-01,1541,L9,OLI-2,H,D
36.970138,-76.4149,3229,484,2025-01-01,1541,L9,OLI-2,H,D
36.970142,-76.414563,3230,484,2025-01-01,1541,L9,OLI-2,H,D
36.24092,-76.333535,3433,3184,2025-01-01,1541,L9,OLI-2,M,D
36.240924,-76.333201,3434,3184,2025-01-01,1541,L9,OLI-2,H,D
36.79497,-76.290624,3589,1137,2025-01-01,1541,L9,OLI-2,M,D
36.794974,-76.290288,3590,1137,2025-01-01,1541,L9,OLI-2,M,D
36.414638,-76.249838,3692,2545,2025-01-01,1541,L9,OLI-2,M,D
36.303261,-75.803667,5022,2971,2025-01-01,1541,L9,OLI-2,H,D
34.348899,-77.720175,407,4824,2025-01-01,1541,L9,OLI-2,H,D
34.368297,-77.662097,587,4757,2025-01-01,1541,L9,OLI-2,H,D
34.41782,-77.597745,789,4579,2025-01-01,1541,L9,OLI-2,H,D
34.41755,-77.597737,789,4580,2025-01-01,1541,L9,OLI-2,H,D
